PubSEED Abreviation	VMH Abbreviation	VMH Description	VMH Formula
UidP	MTZ_GLCt	Transport of D-Glucuronate Metronidazole Beta-D-Glucuronide	mtz_glc[e] -> mtz_glc[c]
UidP	N_OH_PHTN_GLCt	Transport of D-Glucuronate N-Hydroxylated Phenacetin Glucuronide	N_oh_phtn_glc[e] -> N_oh_phtn_glc[c]
UidP	NSLDP_M5_GLCt	Transport of D-Glucuronate Nisoldipine (M5) Glucuronide	nsldp_m5_glc[e] -> nsldp_m5_glc[c]
UidP	NVERP_GLCt	Transport of D-Glucuronate Norverapamil Glucuronide	nverp_glc[e] -> nverp_glc[c]
UidP	ODSM_EGLTMN_GLCt	Transport of D-Glucuronate O-Desmethylepigalantamine Glucuronide	odsm_egltmn_glc[e] -> odsm_egltmn_glc[c]
UidP	ODSM_GLTMN_GLCt	Transport of D-Glucuronate O-Desmethylgalantamine Glucuronide	odsm_gltmn_glc[e] -> odsm_gltmn_glc[c]
UidP	OH_ETR_GLCt	Transport of D-Glucuronate Etravarine Monohydroxylated Glucuronide (M7)	oh_etr_glc[e] -> oh_etr_glc[c]
UidP	OH_PBL_GLCt	Transport of D-Glucuronate Phenobarbital O-Glucuronide	oh_pbl_glc[e] -> oh_pbl_glc[c]
UidP	PHPPA_GLCt	Transport of D-Glucuronate 3-(3-hydroxyphenyl)propionate glucuronide	phppa_glc[e] -> phppa_glc[c]
UidP	PHTN_GLCt	Transport of D-Glucuronate Phenacetin Glucuronide	phtn_glc[e] -> phtn_glc[c]
UidP	PROB_GLCt	Transport of D-Glucuronate Probenecid Acyl Beta-D-Glucuronide	prob_glc[e] -> prob_glc[c]
UidP	PRONT_GLCt	Transport of D-Glucuronate Prontosil Glucuronide	pront_glc[e] -> pront_glc[c]
UidP	PROPL_GLCt	Transport of D-Glucuronate Propranolol Glucuronide	propl_glc[e] -> propl_glc[c]
UidP	PRX_MI_GLCt	Transport of D-Glucuronate Paroxetine Mi Glucuronide	prx_mI_glc[e] -> prx_mI_glc[c]
UidP	PRX_MII_GLCt	Transport of D-Glucuronate Paroxetine Mii Glucuronide	prx_mII_glc[e] -> prx_mII_glc[c]
UidP	PTVSTGLUCt	Transport of D-Glucuronate pitavastatin-glucuronide	ptvstgluc[e] -> ptvstgluc[c]
UidP	PVSGLUCt	Transport of D-Glucuronate pravastatin glucuronide	pvsgluc[e] -> pvsgluc[c]
UidP	R_6OH_WARF_GLCt	Transport of D-Glucuronate R-6-Hydroxywarfarin Glucuronate	R_6oh_warf_glc[e] -> R_6oh_warf_glc[c]
UidP	R_7OH_WARF_GLCt	Transport of D-Glucuronate R-7-Hydroxy Warfarin Glucuronate	R_7oh_warf_glc[e] -> R_7oh_warf_glc[c]
UidP	R_8OH_WARF_GLCt	Transport of D-Glucuronate R-8-Hydroxywarfarin Glucuronate	R_8oh_warf_glc[e] -> R_8oh_warf_glc[c]
UidP	R406_GLCt	Transport of D-Glucuronate Lactam N-Glucuronide Of R406	r406_glc[e] -> r406_glc[c]
UidP	R529_GLCt	Transport of D-Glucuronate Glucuronide R529	r529_glc[e] -> r529_glc[c]
UidP	REP_GLCt	Transport of D-Glucuronate Repaglinide Acyl-Beta-D-Glucuronide	rep_glc[e] -> rep_glc[c]
UidP	RPN_104557_CB_GLCt	Transport of D-Glucuronate SKF 104557 Carbamyl Glucuronide	rpn_104557_cb_glc[e] -> rpn_104557_cb_glc[c]
UidP	RPN_96990_GLCt	Transport of D-Glucuronate SKF 96990 Glucuronide	rpn_96990_glc[e] -> rpn_96990_glc[c]
UidP	RPN_OH_GLCt	Transport of D-Glucuronate SKF 89124 Glucuronide	rpn_oh_glc[e] -> rpn_oh_glc[c]
UidP	RSVGLUCt	Transport of D-Glucuronate rosuvastatin-glucuronide	rsvgluc[e] -> rsvgluc[c]
UidP	S_4OH_WARF_GLCt	Transport of D-Glucuronate S-4-Hydroxywarfarin Glucuronate	S_4oh_warf_glc[e] -> S_4oh_warf_glc[c]
UidP	S_6OH_WARF_GLCt	Transport of D-Glucuronate S-6-Hydroxywarfarin Glucuronate	S_6oh_warf_glc[e] -> S_6oh_warf_glc[c]
UidP	SCH_488128t	Transport of D-Glucuronate SCH 488128	sch_488128[e] -> sch_488128[c]
UidP	SCH_57871_GLCt	Transport of D-Glucuronate SCH 57871 Glucuronide	sch_57871_glc[e] -> sch_57871_glc[c]
UidP	SFND_1689_GLCt	Transport of D-Glucuronate Nw 1689 Acyl Glucuronide	sfnd_1689_glc[e] -> sfnd_1689_glc[c]
UidP	SFTZ_GLCt	Transport of D-Glucuronate Sulfathiazole Glucuronide	sftz_glc[e] -> sftz_glc[c]
UidP	SIMVGLUCt	Transport of D-Glucuronate simvastatin-acyl-glucuronide	simvgluc[e] -> simvgluc[c]
UidP	SMAP_GLCt	Transport of D-Glucuronate 2-Sulfamoylacetylphenol Glucuronide	smap_glc[e] -> smap_glc[c]
UidP	SN38Gt	Transport of D-Glucuronate SN38 glucuronide	sn38g[e] -> sn38g[c]
UidP	SPZ_GLCt	Transport of D-Glucuronate Sulfinpyrazone Glucuronide	spz_glc[e] -> spz_glc[c]
UidP	SPZ_SFN_GLCt	Transport of D-Glucuronate Sulfinpyrazone Sulfone Glucuronide	spz_sfn_glc[e] -> spz_sfn_glc[c]
UidP	STG_M3t	Transport of D-Glucuronate Sitagliptin M3 (Ether Glucuronide Conjugate Of A Hydroxylated Derivative)	stg_m3[e] -> stg_m3[c]
UidP	STG_M4t	Transport of D-Glucuronate Sitagliptin M4 (N-Carbomyl Glucuronide Conjugate)	stg_m4[e] -> stg_m4[c]
UidP	TATt	Transport of D-Glucuronate N-(2-Methyl-3-Chlorophenyl)-Anthranilic Acid	tat[e] -> tat[c]
UidP	TGZ_GLCt	Transport of D-Glucuronate Troglitazone Glucuronide	tgz_glc[e] -> tgz_glc[c]
UidP	TLF_A_M1t	Transport of D-Glucuronate N-(2-Hydroxymethyl-3-Chlorophenyl)-Anthranilic Acid	tlf_a_m1[e] -> tlf_a_m1[c]
UidP	TLF_A_M2t	Transport of D-Glucuronate N-(2-Hydroxymethyl-3-Chloro-4-Hydroxyphenyl)-Anthranilic Acid	tlf_a_m2[e] -> tlf_a_m2[c]
UidP	TLF_A_M3t	Transport of D-Glucuronate N-(2-Formyl-3-Chlorophenyl) Anthranilic Acid	tlf_a_m3[e] -> tlf_a_m3[c]
UidP	TLF_A_M4At	Transport of D-Glucuronate Tolfenamic Acid M4A	tlf_a_m4a[e] -> tlf_a_m4a[c]
UidP	TLF_A_M4t	Transport of D-Glucuronate N-(2-Methyl-3- Chloro-4-Hydroxyphenyl)-Anthranilic Acid	tlf_a_m4[e] -> tlf_a_m4[c]
UidP	TLF_A_M5At	Transport of D-Glucuronate Tolfenamic Acid M5A	tlf_a_m5a[e] -> tlf_a_m5a[c]
UidP	TLF_A_M5Bt	Transport of D-Glucuronate Tolfenamic Acid M5B	tlf_a_m5b[e] -> tlf_a_m5b[c]
UidP	TLF_A_M5t	Transport of D-Glucuronate N-(2-Methyl-3-Chloro-5-Hydroxyphenyl)-Anthranilic Acid	tlf_a_m5[e] -> tlf_a_m5[c]
UidP	TLF_A_M6t	Transport of D-Glucuronate N-(2-Carboxy-3-Chlorophenyl)-Anthranilic Acid	tlf_a_m6[e] -> tlf_a_m6[c]
UidP	TLF_A_M9t	Transport of D-Glucuronate N-(2-Methyl-3-Chloro-4-Metoxyphenyl)-Anthranilic Acid	tlf_a_m9[e] -> tlf_a_m9[c]
UidP	TLMS_GLCt	Transport of D-Glucuronate Telmisartan Glucuronide	tlms_glc[e] -> tlms_glc[c]
UidP	TOLCP_AC_GLCt	Transport of D-Glucuronate Tolcapone N-Acetyl Amino Glucuronide	tolcp_ac_glc[e] -> tolcp_ac_glc[c]
UidP	TOLCP_AM_GLCt	Transport of D-Glucuronate Tolcapone Amine Glucuronide	tolcp_am_glc[e] -> tolcp_am_glc[c]
UidP	TOLCP_GLCt	Transport of D-Glucuronate Tolcapone 3-Beta-D-Glucuronide	tolcp_glc[e] -> tolcp_glc[c]
UidP	TPNO_1GLC_4Gt	Transport of D-Glucuronate Tempol 1-O-Glucuronide And 4-O-Glucoside	tpno_1glc_4g[e] -> tpno_1glc_4g[c]
UidP	TPNO_4GLCt	Transport of D-Glucuronate Tempol 4-O-Glucuronide	tpno_4glc[e] -> tpno_4glc[c]
UidP	TSACMGLUCt	Transport of D-Glucuronate thiomethyl-sulphoxide-acetaminophen-glucuronide	tsacmgluc[e] -> tsacmgluc[c]
UidP	ESTRONEup	Transport of Estrone-3-glucuronide	estroneglc[e] -> estroneglc[c]
UidP	ESTRADIOLup	Transport of estradiol-17-glucuronide	estradiolglc[e] -> estradiolglc[c]
UidP	estriolup	Transport of estriol-16-glucuronide	estriolglc[e] -> estriolglc[c]
UidP	REGFNB_GLCt	Transport of regorafenib-glucuronide	regfnb_glc[e] -> regfnb_glc[c]
Xpt	XPPT	Xanthine phosphoribosyltransferase	prpp[c] + xan[c] -> ppi[c] + xmp[c]
YigM	BTNT5r	Biotin uptake via permease (reversible)	btn[e] <=> btn[c]
YkoCDE	HMPyrABC	Hydroxymethylpyrimidine transport via ABC	4ahmmp[e] + atp[c] + h2o[c] -> 4ahmmp[c] + adp[c] + h[c] + pi[c] 
Ynf	DMSORdmq	Dimethyl sulfoxide reductase (2-demethylmenaquinone)	2dmmql8[c] + dmso[e] -> 2dmmq8[c] + dms[e] + h2o[e]
Ynf	DMSORmq	Dimethyl sulfoxide reductase (Menaquinol)	dmso[e] + mql8[c] -> dms[e] + h2o[e] + mqn8[c]
Ynf	SELRdmq	Selenate reductase (2-demethylmenaquinone)	2dmmql8[c] + sel[e] -> 2dmmq8[c] + h2o[e] + selni[e]
Ynf	SELRmq	Selenate reductase (Menaquinol)	mql8[c] + sel[e] -> h2o[e] + mqn8[c] + selni[e]
Zwf	G6PBDH	beta-D-Glucose-6-phosphateNADP+ 1-oxoreductase	nadp[c] + g6p_B[c] <=> h[c] + nadph[c] + 6pgl[c]
Zwf	G6PDH2r	glucose 6-phosphate dehydrogenase	nadp[c] + g6p[c] <=> h[c] + nadph[c] + 6pgl[c]
	DM_cholcoa_c_	Choloyl-CoA Demand	cholcoa[c] ->
	DM_dcholcoa_c_	Chenodeoxycholoyl-CoA Demand	dcholcoa[c] ->
	DM_NA1	Demand for Sodium, Cytosolic	na1[c] ->
	DM_udoholcoa_c_	Ursodeoxycholoyl-CoA Demand	udoholcoa[c] ->
	EX_12dhchol(e)	12-Dehydrocholate exchange	12dhchol[e] <=>
	EX_1hibup_S(e)	1-hydroxy S-ibuprofen exchange	1hibup_S[e] <=>
	EX_1hibupglu_S(e)	1-hydroxy S-ibuprofen-glucuronide exchange	1hibupglu_S[e] <=>
	EX_1hmdgluc(e)	1-OH-midazolam-glucuronide exchange	1hmdgluc[e] <=>
	EX_1ohmdz(e)	1-OH-midazolam exchange	1ohmdz[e] <=>
	EX_2hatvacid(e)	2-hydroxy-atorvastatin-acid / ortho-hydroxy-atorvastatin acid exchange	2hatvacid[e] <=>
	EX_2hatvacidgluc(e)	2-hydroxy-atorvastatin-acyl-glucuronide exchange	2hatvacidgluc[e] <=>
	EX_2hatvlac(e)	2-hydroxy-atorvastatin-lactone / ortho-hydroxy-atorvastatin lactone exchange	2hatvlac[e] <=>
	EX_2hatvlacgluc(e)	2-hydroxy-atorvastatin-lactone-glucuronide exchange	2hatvlacgluc[e] <=>
	EX_2hibup_S(e)	2-hydroxy-S-ibuprofen exchange	2hibup_S[e] <=>
	EX_2hibupglu_S(e)	2-hydroxy S-ibuprofen-glucuronide exchange	2hibupglu_S[e] <=>
	EX_2oh_cbz(e)	2-Hydroxycarbamazepine exchange	2oh_cbz[e] <=>
	EX_2oh_cbz_glc(e)	2-Hydroxy Carbamazepine Glucuronide exchange	2oh_cbz_glc[e] <=>
	EX_2oh_mtz(e)	2-Hydroxymetronidazole exchange	2oh_mtz[e] <=>
	EX_2oh_mtz_glc(e)	2-Hydroxymetronidazole Glucuronide exchange	2oh_mtz_glc[e] <=>
	EX_2shchc(e)	Exchange of 2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate	2shchc[e] <=>
	EX_34dhphe(e)	Exchange of 3, 4-Dihydroxy-L-Phenylalanine	34dhphe[e] <=>
	EX_3dhcdchol(e)	3-Dehydrochenodeoxycholate exchange	3dhcdchol[e] <=>
	EX_3dhchol(e)	3-Dehydrocholate exchange	3dhchol[e] <=>
	EX_3hibup_S(e)	3-hydroxy S-ibuprofen exchange	3hibup_S[e] <=>
	EX_3hibupglu_S(e)	3-hydroxy S-ibuprofen-glucuronide exchange	3hibupglu_S[e] <=>
	EX_3meacmp(e)	3-methoxy-acetaminophen exchange	3meacmp[e] <=>
	EX_3oh_cbz(e)	3-Hydroxycarbamazepine exchange	3oh_cbz[e] <=>
	EX_3oh_cbz_glc(e)	3-Hydroxy Carbamazepine Glucuronide exchange	3oh_cbz_glc[e] <=>
	EX_3oh_dlor(e)	3-Hydroxydesloratadine exchange	3oh_dlor[e] <=>
	EX_3oh_dlor_glc(e)	3-Hydroxydesloratadine Glucuronide exchange	3oh_dlor_glc[e] <=>
	EX_3oh_mdea(e)	3-Hydroxy N-Desethylamiodarone (3-Hydroxy_MDEA) (M8) exchange	3oh_mdea[e] <=>
	EX_3oh_mdea_glc(e)	3-Hydroxy N-Desethylamiodarone Glucuronide (3-Hydroxy_MDEA_Glc) (M15) exchange	3oh_mdea_glc[e] <=>
	EX_3oh_mxn(e)	3-Hydroxymorphinan exchange	3oh_mxn[e] <=>
	EX_3oh_mxn_glc(e)	3-Hydroxymorphinan O-Glucuronide exchange	3oh_mxn_glc[e] <=>
	EX_4ahmmp(e)	Exchange of Hydroxymethylpyrimidine	4ahmmp[e] <=> 
	EX_4dh_tpno(e)	4-Dehydroxytempol exchange	4dh_tpno[e] <=>
	EX_4dh_tpno_1glc(e)	4-Dehydroxytempol 1-O-Glucuronide exchange	4dh_tpno_1glc[e] <=>
	EX_4hmdgluc(e)	4-OH-midazolam-glucuronide exchange	4hmdgluc[e] <=>
	EX_4hphac(e)	Exchange of 4-Hydroxyphenylacetate	4hphac[e] <=>
	EX_4oh_dcf(e)	4-Hydroxydiclofenac exchange	4oh_dcf[e] <=>
	EX_4oh_dcf_glc(e)	4-Hydroxydiclofenac Glucuronide exchange	4oh_dcf_glc[e] <=>
	EX_4oh_kp(e)	4-Hydroxybenzyl Ketoprofen exchange	4oh_kp[e] <=>
	EX_4oh_kp_glc(e)	4-Hydroxybenzyl Ketoprofen Glucuronide exchange	4oh_kp_glc[e] <=>
	EX_4oh_levole(e)	4-Hydroxy Levamisole (M1) exchange	4oh_levole[e] <=>
	EX_4oh_levole_glc(e)	4-Hydroxy Levamisole Glucuronide exchange	4oh_levole_glc[e] <=>
	EX_4oh_meth(e)	4-Hydroxymethamphetamine exchange	4oh_meth[e] <=>
	EX_4oh_meth_glc(e)	4-Hydroxymethamphetamine Glucuronide exchange	4oh_meth_glc[e] <=>
	EX_4oh_propl(e)	4-Hydroxypropanolol exchange	4oh_propl[e] <=>
	EX_4oh_propl_glc(e)	4-Hydroxypropranolol Glucuronide exchange	4oh_propl_glc[e] <=>
	EX_4oh_trz(e)	4-Hydroxytriazolam exchange	4oh_trz[e] <=>
	EX_4oh_trz_glc(e)	4-Hydroxy Triazolam Glucuronide exchange	4oh_trz_glc[e] <=>
	EX_4oh_vcz(e)	4-Hydroxyvoriconazole exchange	4oh_vcz[e] <=>
	EX_4oh_vcz_glc(e)	4-Hydroxyvoriconazole Glucuronide exchange	4oh_vcz_glc[e] <=>
	EX_4ohmdz(e)	4-OH-midazolam exchange	4ohmdz[e] <=>
	EX_5asa(e)	5-Aminosalicylic Acid (Mesalamine) exchange	5asa[e] <=>
	EX_5fura(e)	5-Fluorouracil exchange	5fura[e] <=>
	EX_5oh_sulfp(e)	5-Hydroxy-Sulfapyridine exchange	5oh_sulfp[e] <=>
	EX_5oh_sulfp_glc(e)	5-Hydroxy-Sulfapyridine-O-Glucuronide exchange	5oh_sulfp_glc[e] <=>
	EX_5ohfvs(e)	5-hydroxy-fluvastatin exchange	5ohfvs[e] <=>
	EX_5ohfvsglu(e)	5-hydroxy-fluvastatin-glucuronide exchange	5ohfvsglu[e] <=>
	EX_6bhglz(e)	6-beta-OH-gliclazide exchange	6bhglz[e] <=>
	EX_6bhglzglc(e)	6-beta-OH-gliclazide-glucuronide exchange	6bhglzglc[e] <=>
	EX_6ohfvs(e)	6-hydroxy-fluvastatin exchange	6ohfvs[e] <=>
	EX_6ohfvsglu(e)	6-hydroxy-fluvastatin-glucuronide exchange	6ohfvsglu[e] <=>
	EX_7a_czp(e)	7-Aminoclonazepam exchange	7a_czp[e] <=>
	EX_7bhglz(e)	7-beta-OH-gliclazide exchange	7bhglz[e] <=>
	EX_7bhglzglc(e)	7-beta-OH-gliclazide-glucuronide exchange	7bhglzglc[e] <=>
	EX_7dhcdchol(e)	7-Dehydrochenodeoxycholate exchange	7dhcdchol[e] <=>
	EX_7ocholate(e)	7-Dehydrocholate exchange	7ocholate[e] <=>
	EX_7oh_efv(e)	7-hydroxy-Efavirenz exchange	7oh_efv[e] <=>
	EX_7oh_efv_glc(e)	7-hydroxy-Efavirenz Glucuronide exchange	7oh_efv_glc[e] <=>
	EX_814dioh_efv(e)	8 14-Dihydroxyefavirenz exchange	814dioh_efv[e] <=>
	EX_814dioh_efv_glc(e)	8 14-Dihydroxyefavirenz Glucuronide exchange	814dioh_efv_glc[e] <=>
	EX_8oh_efv(e)	8-hydroxy-Efavirenz exchange	8oh_efv[e] <=>
	EX_8oh_efv_glc(e)	8-hydroxy-Efavirenz Glucuronide exchange	8oh_efv_glc[e] <=>
	EX_abz_ala_b(e)	4-Aminobenzoyl-Beta-Alanine exchange	abz_ala_b[e] <=>
	EX_ac_amn_b_gly(e)	Acetyl 4-Aminobenzoylglycine exchange	ac_amn_b_gly[e] <=>
	EX_ac_amn_b_gly_glc(e)	Acetyl 4-Aminobenzoylglycine Glucuronide exchange	ac_amn_b_gly_glc[e] <=>
	EX_ac5asa(e)	N-Acetyl-5-Aminosalicylic Acid exchange	ac5asa[e] <=>
	EX_acisnzd(e)	N-Acetylisoniazid exchange	acisnzd[e] <=>
	EX_acmp(e)	acetaminophen/paracetamol exchange	acmp[e] <=>
	EX_acmp_glc(e)	Acetaminophen Glucuronide exchange	acmp_glc[e] <=>
	EX_acmpglu(e)	Acetaminophen glucuronide exchange	acmpglu[e] <=>
	EX_adocbl(e)	Exchange of Adenosylcobalamin	adocbl[e] <=> 
	EX_ala_L(e)	Exchange of L-Alanine	ala_L[e] <=> 
	EX_alpz_4oh(e)	4-Hydroxyalprazolam exchange	alpz_4oh[e] <=>
	EX_alpz_4oh_glc(e)	4-Hydroxyalprazolam Glucuronide exchange	alpz_4oh_glc[e] <=>
	EX_alpz_aoh(e)	Alpha-Hydroxyalprazolam exchange	alpz_aoh[e] <=>
	EX_alpz_aoh_glc(e)	Alpha-Hydroxyalprazolam Glucuronide exchange	alpz_aoh_glc[e] <=>
	EX_am14(e)	Desmethylalfentanil (AM14) exchange	am14[e] <=>
	EX_am14_glc(e)	Desmethylalfentanil Glucuronide (AM14 Glucuronide) exchange	am14_glc[e] <=>
	EX_am1ccs(e)	AM1c (cyclosporine) exchange	am1ccs[e] <=>
	EX_am1cglc(e)	AM1c-glucuronide (cyclosporine) exchange	am1cglc[e] <=>
	EX_am5(e)	N-(4-Hydroxyphenyl)Propanamide (AM5) exchange	am5[e] <=>
	EX_am5_glc(e)	N-(4-Hydroxyphenyl)Propanamide Glucuronide (AM5 Glucuronide) exchange	am5_glc[e] <=>
	EX_am6(e)	Desmethylnoralfentanil (AM6) exchange	am6[e] <=>
	EX_am6_glc(e)	Desmethylnoralfentanil Glucuronide (AM6 Glucuronide) exchange	am6_glc[e] <=>
	EX_amio(e)	Amiodarone exchange	amio[e] <=>
	EX_amio_c(e)	Carboxylamiodarone (M12) exchange	amio_c[e] <=>
	EX_amio_c_glc(e)	Carboxylamiodarone Glucuronide (M19) exchange	amio_c_glc[e] <=>
	EX_amio_glc(e)	Amiodarone Glucuronide (M16) exchange	amio_glc[e] <=>
	EX_amn_b_gly(e)	4-Aminobenzoylglycine exchange	amn_b_gly[e] <=>
	EX_amn_b_gly_glc(e)	4-Aminobenzoylglycine Glucuronide exchange	amn_b_gly_glc[e] <=>
	EX_amntd_m6(e)	Oxidation Product Of M3 M6 exchange	amntd_m6[e] <=>
	EX_amntd_m6_glc(e)	Amantadine M6 Glucuronide exchange	amntd_m6_glc[e] <=>
	EX_anzp(e)	7-Amino Nitrozepam exchange	anzp[e] <=>
	EX_arg_L(e)	Exchange of L-Arginine 	arg_L[e] <=> 
	EX_atvacid(e)	atorvastatin-acid exchange	atvacid[e] <=>
	EX_atvacylgluc(e)	atorvastatin-acyl-glucuronide / G2 exchange	atvacylgluc[e] <=>
	EX_atvethgluc(e)	atorvastatin-ether-glucuronide -G1 exchange	atvethgluc[e] <=>
	EX_atvlac(e)	atorvastatin-lactone exchange	atvlac[e] <=>
	EX_atvlacgluc(e)	atorvastatin-lactone-ether-glucuronide / G3 exchange	atvlacgluc[e] <=>
	EX_bhpm(e)	(Bis-(P-Hydroxyphenyl)-Pyridyl-2-Methane exchange	bhpm[e] <=>
	EX_bhpm_glc(e)	Bis-(P-Hydroxy-Phenyl)-Pyridyl-2-Methane Glucuronide exchange	bhpm_glc[e] <=>
	EX_bilr_355(e)	BILR 355 exchange	bilr_355[e] <=>
	EX_bilr_M10(e)	BILR M10 exchange	bilr_M10[e] <=>
	EX_bilr_M12(e)	BILR M12 exchange	bilr_M12[e] <=>
	EX_bilr_M14(e)	BILR M14 exchange	bilr_M14[e] <=>
	EX_bilr_M15(e)	BILR M15 exchange	bilr_M15[e] <=>
	EX_bilr_M16(e)	BILR M16 exchange	bilr_M16[e] <=>
	EX_bilr_M7(e)	BILR M7 exchange	bilr_M7[e] <=>
	EX_brv(e)	Brivudine exchange	brv[e] <=>
	EX_bsn(e)	Bosentan exchange	bsn[e] <=>
	EX_bsn_glc(e)	Bosentan Glucuronide exchange	bsn_glc[e] <=>
	EX_btn(e)	Exchange of Biotin 	btn[e] <=> 
	EX_bvu(e)	 (E)-5-(2-Bromovinyl)Uracil exchange	bvu[e] <=>
	EX_bz(e)	Benzoate exchange	bz[e] <=>
	EX_bz_glc(e)	Benzoic acid glucuronide exchange	bz_glc[e] <=>
	EX_bzd(e)	Balsalazide exchange	bzd[e] <=>
	EX_C02528(e)	chenodeoxycholate exchange	C02528[e] <=>
	EX_C02528(e)	chenodeoxycholate exchange	C02528[e] <=>
	EX_caribup_s(e)	S-carboxy ibuprofen exchange	caribup_s[e] <=>
	EX_caribupglu_S(e)	S-carboxy ibuprofen glucuronide exchange	caribupglu_S[e] <=>
	EX_cbz(e)	Carbamazepine exchange	cbz[e] <=>
	EX_cbz_glc(e)	Carbamazepine Glucuronide exchange	cbz_glc[e] <=>
	EX_cd6168(e)	CD6168 exchange	cd6168[e] <=>
	EX_cd6168_glc(e)	CD6168 Glucuronide exchange	cd6168_glc[e] <=>
	EX_chlphncl(e)	Chloramphenicol exchange	chlphncl[e] <=>
	EX_chlphncl_glc(e)	Chloramphenicol 3-Glucuronide exchange	chlphncl_glc[e] <=>
	EX_cholate(e)	exchange reaction for cholate	cholate[e] <=>
	EX_cholate(e)	exchange reaction for cholate	cholate[e] <=>
	EX_chsterol(e)	 exchange reaction for cholesterol	chsterol[e] <=>
	EX_clcxb(e)	Celecoxib exchange	clcxb[e] <=>
	EX_clcxb_c(e)	Carboxycelecoxib exchange	clcxb_c[e] <=>
	EX_clcxb_c_glc(e)	Carboxycelecoxib Glucuronide exchange	clcxb_c_glc[e] <=>
	EX_clcxb_glc(e)	Celecoxib Glucuronide exchange	clcxb_glc[e] <=>
	EX_clobi_c(e)	Clopidogrel Carboxylic Acid exchange	clobi_c[e] <=>
	EX_clobi_glc(e)	Clopidogrel Acyl-Beta-D-Glucuronide exchange	clobi_glc[e] <=>
	EX_co2(e)	Exchange of Carbon Dioxide	co2[e] <=>
	EX_coa(e)	Exchange of Coenzyme A	coa[e] <=>
	EX_cobalt2(e)	Co2+ exchange	cobalt2[e] <=> 
	EX_coprost(e)	exchange reaction for coprostanol	coprost[e] <=>
	EX_crvsm1(e)	cerivastatin-M1 exchange	crvsm1[e] <=>
	EX_crvsm23(e)	cerivastatin-M23 exchange	crvsm23[e] <=>
	EX_cvm1gluc(e)	cerivastatin-M1-glucuronide exchange	cvm1gluc[e] <=>
	EX_cvm23gluc(e)	cerivastatin-M23-glucuronide exchange	cvm23gluc[e] <=>
	EX_cys_L(e)	Exchange of L-Cysteine	cys_L[e] <=> 
	EX_czp(e)	Clonazepam exchange	czp[e] <=>
	EX_daa(e)	Deaminated Amiodarone (M5) exchange	daa[e] <=>
	EX_daa_glc(e)	Deaminated Amiodarone Glucuronide (M14) exchange	daa_glc[e] <=>
	EX_dcf(e)	Diclofenac exchange	dcf[e] <=>
	EX_dcf_glc(e)	Diclofenac Acyl Glucuronide exchange	dcf_glc[e] <=>
	EX_dchac(e)	exchange reaction for deoxycholic acid	dchac[e] <=>
	EX_ddea(e)	Di-N-Desethylamiodarone (DDEA) exchange	ddea[e] <=>
	EX_ddea_glc(e)	Di-N-Desethylamiodarone Glucuronide Conjugate (DDEA_Glc) exchange	ddea_glc[e] <=>
	EX_des_astzl(e)	Desmethylastemizole exchange	des_astzl[e] <=>
	EX_des_astzl_glc(e)	Desmethylastemozole Glucuronide exchange	des_astzl_glc[e] <=>
	EX_dfdcytd(e)	Gemcitabine (2′ 2′-difluorodeoxycytidine) exchange	dfdcytd[e] <=>
	EX_dfduri(e)	2 2-Difluorodeoxyuridine exchange	dfduri[e] <=>
	EX_dgchol(e)	Chenodeoxyglycocholate exchange	dgchol[e] <=>
	EX_dgchol(e)	Chenodeoxyglycocholate exchange	dgchol[e] <=>
	EX_dh5fura(e)	5,6-Dihydro 5-Fluoro Uracil exchange	dh5fura[e] <=>
	EX_dhna(e)	Exchange of 1,4-Dihydroxy-2-naphthoate	dhna[e] <=> 
	EX_dhnacoa(e)	Exchange of 1,4-Dihydroxy-2-naphthoyl-CoA	dhnacoa[e] <=>
	EX_digitoxin(e)	Digitoxin exchange	digitoxin[e] <=>
	EX_digoxin(e)	Digoxin exchange	digoxin[e] <=>
	EX_digoxin_glc(e)	Digoxin 16-Glucuronide exchange	digoxin_glc[e] <=>
	EX_dihydro_digitoxin(e)	20,22-Dihydrodigitoxin exchange	dihydro_digitoxin[e] <=>
	EX_dihydro_digoxin(e)	Dihydrodigoxin exchange	dihydro_digoxin[e] <=>
	EX_dlb(e)	Deleobuvir exchange	dlb[e] <=>
	EX_dlb_glc(e)	Deleobuvir Glucuronide exchange	dlb_glc[e] <=>
	EX_dms(e)	Dimethyl sulfide exchange	dms[e] <=>
	EX_dmso(e)	Dimethyl sulfoxide exchange	dmso[e] <=>
	EX_dnpz_5des(e)	5-O-Desmethyl Donepezil exchange	dnpz_5des[e] <=>
	EX_dnpz_6des(e)	6-O-Desmethyldonepezil exchange	dnpz_6des[e] <=>
	EX_dnpz_m11(e)	Donepezil Metabolite M11 exchange	dnpz_m11[e] <=>
	EX_dnpz_m12(e)	Donepezil Metabolite M12 exchange	dnpz_m12[e] <=>
	EX_dnpz_m13(e)	Donepezil Metabolite M13 exchange	dnpz_m13[e] <=>
	EX_dnpz_m14(e)	Donepezil Metabolite M14 exchange	dnpz_m14[e] <=>
	EX_dnpz_m9(e)	Donepezil Metabolite M9 exchange	dnpz_m9[e] <=>
	EX_doh_etr(e)	Etravarine Dihydroxylated (M4  M5  M6) exchange	doh_etr[e] <=>
